Year,Month,Biomass
2016,1,86.19646471
2016,2,219.2368093
2016,3,49.63857196
2016,4,151.3553845
2016,5,88.16503529
2016,6,6.22391442
2016,7,1.138449016
2016,8,16.41970863
2016,9,65.57062987
2016,10,11.21066786
2016,11,4.274376296
2016,12,0.521516753
2017,1,18.40931721
2017,2,32.89270664
2017,3,14.93024018
2017,4,51.06190724
2017,5,64.72767464
2017,6,36.94817042
2017,7,13.63001248
2017,8,75.49703285
2017,9,154.1949301
2017,10,77.72049123
2017,11,7.565466986
2017,12,6.060643535
2018,1,27.68037308
2018,2,58.58110362
2018,3,88.30266581
2018,4,137.1631631
2018,5,87.68032553
2018,6,31.57814819
2018,7,25.41136729
2018,8,29.66493228
2018,9,119.4072431
2018,10,84.05256773
2018,11,26.88263425
2018,12,60.4960629
2019,1,127.6034
2019,2,97.75149153
2019,3,45.98650488
2019,4,80.50175233
2019,5,35.41874187
2019,6,8.760734086
2019,7,11.77498434
2019,8,14.46787252
2019,9,70.57240697
2019,10,29.0961191
2019,11,48.12151099
2019,12,90.28869713
2020,1,60.37504927
2020,2,37.87109964
2020,3,2.390738231
2020,5,70.10346517
2020,6,2.331629936
2020,7,21.00709683
2020,8,26.7659534
2020,9,20.83939126
2020,10,10.86605442
2020,11,9.592405579
2020,12,41.78024003
2021,1,11.01470805
2021,2,59.42173055
2021,3,26.31313901
2021,4,68.98281245
