YearOfFPV,MonthOfFPV,TypeOfPatch,Taxon,CountOfTaxon
2018,8,PI,TAME,1
2018,9,PI,MTIN,1
2018,10,PI,BSIM,34
2018,10,PI,MOCC,4
2018,10,PI,TAME,3
2018,11,PI,BSIM,29
2018,11,PI,TAME,4
2018,12,PI,BSIM,8
2018,12,PI,TAME,1
2019,1,PI,BSIM,2
2019,1,PI,XFLE,1
2019,3,PI,XXXX,2
2019,5,PI,ACOL,18
2019,5,PI,BSIM,24
2019,5,PI,MOCC,15
2019,5,PI,SSCH,1
2019,5,PI,TMAR,5
2019,5,PI,XXXX,4
2019,7,PI,AGRA,1
2019,7,PI,XXXX,1
2019,10,PI,BSIM,40
2019,11,PI,BSIM,23
2019,11,PI,TAME,1
2019,12,PI,BSIM,3
2020,5,PI,BSIM,9
2020,5,PI,TAME,1
2020,7,PI,BSIM,2
2020,8,PI,BSIM,2
2020,10,PI,BSIM,13
2020,11,PI,BSIM,15
2020,11,PI,CVIT,1
2020,12,PI,BSIM,11
2020,12,PI,CVIT,3
2021,1,PI,BSIM,4
2021,1,PI,SMOM,1
2021,2,PI,ACOL,1
