Species,Sample,Diet,Search,Peak,Class,RT,Area
BSIM,BSIM4,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9573,26809009
BSIM,BSIM3,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9667,25135541
CVIT,CVIT5,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9466,21390928
CVIT,CVIT4,Dietary,Search1,P001-RT-1.94,Aliphatics,1.945,7808447
SMOM,SMOM4,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9311,6408915
TAME,TAME5,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9566,6280118
SMOM,SMOM3,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9339,5434649
GSEP,GSEP2,Non-dietary,Search1,P001-RT-1.94,Aliphatics,1.9448,4902740
GSEP,GSEP1,Non-dietary,Search1,P001-RT-1.94,Aliphatics,1.9422,4665954
BSIM,BSIM1,Dietary,Search2,P001-RT-1.94,Aliphatics,1.9263,2529523
SMOM,SMOM5,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9304,1865871
GSEP,GSEP4,Non-dietary,Search1,P001-RT-1.94,Aliphatics,1.9412,1074576
TAME,TAME2,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9345,1013703
SMOM,SMOM1,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9413,922113
TAME,TAME4,Dietary,Search1,P001-RT-1.94,Aliphatics,1.94,747207
GSEP,GSEP3,Non-dietary,Search1,P001-RT-1.94,Aliphatics,1.9474,487627
TAME,TAME3,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9503,226224
AHER,AHER2,Non-dietary,Search1,P001-RT-1.94,Aliphatics,1.9536,170542
AHER,AHER1,Non-dietary,Search2,P001-RT-1.94,Aliphatics,1.9436,84052
SOBO,SOBO2,Non-dietary,Search2,P001-RT-1.94,Aliphatics,1.9766,38532
CVIT,CVIT2,Dietary,Search1,P001-RT-1.94,Aliphatics,1.9884,31981
SOBO,SOBO5,Non-dietary,Search2,P001-RT-1.94,Aliphatics,1.9459,29212
SOBO,SOBO1,Non-dietary,Search2,P001-RT-1.94,Aliphatics,1.9561,13678
GSEP,GSEP5,Non-dietary,Search2,P001-RT-1.94,Aliphatics,1.9627,10232
AHER,AHER5,Non-dietary,Search2,P001-RT-1.94,Aliphatics,1.9008,1364
BSIM,BSIM3,Dietary,Search1,P006-RT-2.39,Aliphatics,2.3664,1039974
CVIT,CVIT2,Dietary,Search1,P006-RT-2.39,Aliphatics,2.4955,335547
AHER,AHER2,Non-dietary,Search1,P006-RT-2.39,Aliphatics,2.3904,241922
AHER,AHER5,Non-dietary,Search1,P006-RT-2.39,Aliphatics,2.3814,135633
SOBO,SOBO5,Non-dietary,Search1,P006-RT-2.39,Aliphatics,2.3788,98083
CVIT,CVIT3,Dietary,Search1,P006-RT-2.39,Aliphatics,2.3831,64073
GSEP,GSEP5,Non-dietary,Search1,P006-RT-2.39,Aliphatics,2.4057,31443
BSIM,BSIM2,Dietary,Search1,P006-RT-2.39,Aliphatics,2.3986,15404
SOBO,SOBO2,Non-dietary,Search2,P006-RT-2.39,Aliphatics,2.425,3142
SOBO,SOBO2,Non-dietary,Search1,P008-RT-2.82,Aliphatics,2.7187,2103912
CVIT,CVIT2,Dietary,Search1,P008-RT-2.82,Aliphatics,2.8263,847440
SOBO,SOBO5,Non-dietary,Search1,P008-RT-2.82,Aliphatics,2.7034,539815
CVIT,CVIT1,Dietary,Search1,P008-RT-2.82,Aliphatics,2.705,485413
AHER,AHER2,Non-dietary,Search1,P008-RT-2.82,Aliphatics,2.9789,169130
AHER,AHER4,Non-dietary,Search1,P008-RT-2.82,Aliphatics,2.6712,158545
AHER,AHER3,Non-dietary,Search2,P008-RT-2.82,Aliphatics,2.7943,111681
GSEP,GSEP5,Non-dietary,Search1,P008-RT-2.82,Aliphatics,2.9888,110589
BSIM,BSIM3,Dietary,Search2,P008-RT-2.82,Aliphatics,2.8946,24363
AHER,AHER1,Non-dietary,Search2,P008-RT-2.82,Aliphatics,2.9072,8820
SMOM,SMOM5,Dietary,Search2,P008-RT-2.82,Aliphatics,2.7481,5415
GSEP,GSEP3,Non-dietary,Search2,P008-RT-2.82,Aliphatics,2.7622,5082
GSEP,GSEP5,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8339,16412645
GSEP,GSEP3,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.7926,13610124
GSEP,GSEP4,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8067,12224558
AHER,AHER5,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8284,11554988
CVIT,CVIT4,Dietary,Search1,P013-RT-3.84,Aliphatics,3.7994,10990818
GSEP,GSEP1,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8105,10919621
AHER,AHER3,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8229,10243944
CVIT,CVIT2,Dietary,Search1,P013-RT-3.84,Aliphatics,3.851,10140758
CVIT,CVIT3,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8311,9751437
BSIM,BSIM2,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8201,9309481
AHER,AHER4,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8178,9293598
BSIM,BSIM1,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8226,9066521
AHER,AHER2,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.9159,8106883
SOBO,SOBO3,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8182,8023330
TAME,TAME1,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8186,7735405
SMOM,SMOM5,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8017,7718924
GSEP,GSEP2,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8122,7709350
TAME,TAME2,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8211,7278698
SMOM,SMOM1,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8833,6752494
SMOM,SMOM4,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8009,6735452
TAME,TAME3,Dietary,Search1,P013-RT-3.84,Aliphatics,3.823,6699812
CVIT,CVIT5,Dietary,Search1,P013-RT-3.84,Aliphatics,3.7952,6657571
BSIM,BSIM5,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8034,6437578
AHER,AHER1,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8206,6380482
SOBO,SOBO1,Non-dietary,Search1,P013-RT-3.84,Aliphatics,3.8168,6052094
TAME,TAME4,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8166,5745534
SMOM,SMOM3,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8095,5403749
BSIM,BSIM4,Dietary,Search1,P013-RT-3.84,Aliphatics,3.8175,5268389
