Species,Sample,Diet,Peak,Identity,Class,RT,Area
A.her,AHER2,Non-dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.9141,838265
A.her,AHER4,Non-dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.881,586489
A.her,AHER1,Non-dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8901,509897
A.her,AHER3,Non-dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8972,117834
B.sim,BSIM3,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8858,161247009
B.sim,BSIM2,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8896,18587300
B.sim,BSIM5,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8633,10605779
B.sim,BSIM1,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8853,9212235
B.sim,BSIM4,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.848,8693143
C.vit,CVIT2,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.9133,9386803
C.vit,CVIT3,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8905,4256610
C.vit,CVIT4,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.867,2218903
C.vit,CVIT5,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8628,548737
G.sep,GSEP1,Non-dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8843,183374
G.sep,GSEP3,Non-dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8612,111960
G.sep,GSEP4,Non-dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8396,75979
G.sep,GSEP5,Non-dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.9001,20590
S.mom,SMOM1,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8878,18935985
S.mom,SMOM5,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8582,6244375
S.mom,SMOM3,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8612,4923933
S.mom,SMOM4,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8492,3661991
T.ame,TAME3,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8843,2285859
T.ame,TAME2,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8858,1609967
T.ame,TAME1,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8832,1550764
T.ame,TAME5,Dietary,P021-RT-4.90,alpha-Pinene,Terpenoids,4.8536,980282
B.sim,BSIM3,Dietary,P026-RT-5.46,Camphene,Terpenoids,5.4559,1433692
B.sim,BSIM2,Dietary,P026-RT-5.46,Camphene,Terpenoids,5.4564,155417
B.sim,BSIM5,Dietary,P026-RT-5.46,Camphene,Terpenoids,5.4397,44245
C.vit,CVIT2,Dietary,P026-RT-5.46,Camphene,Terpenoids,5.4694,191609
S.mom,SMOM1,Dietary,P026-RT-5.46,Camphene,Terpenoids,5.457,325065
S.mom,SMOM5,Dietary,P026-RT-5.46,Camphene,Terpenoids,5.4115,1896
T.ame,TAME3,Dietary,P026-RT-5.46,Camphene,Terpenoids,5.4588,48359
T.ame,TAME1,Dietary,P026-RT-5.46,Camphene,Terpenoids,5.4495,23616
A.her,AHER4,Non-dietary,P031-RT-5.99,beta-Pinene,Terpenoids,5.9462,478416
A.her,AHER1,Non-dietary,P031-RT-5.99,beta-Pinene,Terpenoids,5.9534,310236
