Species Code,DietCategory,Individual,Branch,Surface,Indentation Hardness (GPa),Reduced Modulus (GPa)
AHER,Non-dietary,1,1,Inner,2.569153,0.069050 +0.000000 i
AHER,Non-dietary,1,1,Outer,0.985221,0.022710 +0.000000 i
AHER,Non-dietary,1,2,Inner,0.551182,0.010700 +0.000000 i
AHER,Non-dietary,1,2,Outer,0.870142,0.023084 +0.000000 i
AHER,Non-dietary,2,1,Inner,0.809122,0.027230 +0.000000 i
AHER,Non-dietary,2,1,Outer,0.776788,0.009280 +0.000000 i
AHER,Non-dietary,2,2,Inner,1.636811,0.036032 +0.000000 i
AHER,Non-dietary,2,2,Outer,1.682695,0.067428 +0.000000 i
AHER,Non-dietary,3,1,Inner,1.461626,0.018139 +0.000000 i
AHER,Non-dietary,3,1,Outer,1.380533,0.073684 +0.000000 i
AHER,Non-dietary,3,2,Inner,4.236909,0.107632 +0.000000 i
AHER,Non-dietary,3,2,Outer,1.638652,0.036384 +0.000000 i
AHER,Non-dietary,4,1,Inner,0.330854,0.005025 +0.000000 i
AHER,Non-dietary,4,1,Outer,2.107703,0.081666 +0.000000 i
AHER,Non-dietary,4,2,Inner,2.378419,0.056515 +0.000000 i
AHER,Non-dietary,4,2,Outer,0.630069,0.009815 +0.000000 i
AHER,Non-dietary,5,1,Inner,0.478641,0.013507 +0.000000 i
AHER,Non-dietary,5,1,Outer,2.149494,0.070245 +0.000000 i
AHER,Non-dietary,5,2,Inner,0.245568,0.003269 +0.000000 i
AHER,Non-dietary,5,2,Outer,0.199477,0.005307 +0.000000 i
BSIM,Dietary,1,1,Inner,0.247448,0.004160 +0.000000 i
BSIM,Dietary,1,1,Outer,0.709544,0.014391 +0.000000 i
BSIM,Dietary,1,2,Inner,0.39934,0.007949 +0.000000 i
BSIM,Dietary,1,2,Outer,0.355549,0.009540 +0.000000 i
BSIM,Dietary,2,1,Inner,0.292537,0.004229 +0.000000 i
BSIM,Dietary,2,1,Outer,0.27629,0.002542 +0.000000 i
BSIM,Dietary,2,2,Inner,0.117583,0.003398 +0.000000 i
BSIM,Dietary,2,2,Outer,0.735435,0.013019 +0.000000 i
BSIM,Dietary,3,1,Inner,0.489914,0.021108 +0.000000 i
BSIM,Dietary,3,1,Outer,0.822618,0.021818 +0.000000 i
BSIM,Dietary,3,2,Inner,0.088447,0.003472 +0.000000 i
BSIM,Dietary,3,2,Outer,0.855022,0.009873 +0.000000 i
BSIM,Dietary,4,1,Inner,0.160831,0.007265 +0.000000 i
BSIM,Dietary,4,1,Outer,0.407001,0.012229 +0.000000 i
BSIM,Dietary,4,2,Inner,0.339834,0.006765 +0.000000 i
BSIM,Dietary,4,2,Outer,1.042957,0.028052 +0.000000 i
BSIM,Dietary,5,1,Inner,0.302402,0.008934 +0.000000 i
BSIM,Dietary,5,1,Outer,0.941949,0.025426 +0.000000 i
BSIM,Dietary,5,2,Inner,0.264078,0.010041 +0.000000 i
BSIM,Dietary,5,2,Outer,1.319801,0.044330 +0.000000 i
CVIT,Dietary,1,1,Inner,0.112517,0.002104 +0.000000 i
CVIT,Dietary,1,1,Outer,0.174748,0.004163 +0.000000 i
CVIT,Dietary,1,2,Inner,0.308063,0.009275 +0.000000 i
CVIT,Dietary,1,2,Outer,0.123447,0.003962 +0.000000 i
CVIT,Dietary,2,1,Inner,0.265204,0.008332 +0.000000 i
CVIT,Dietary,2,1,Outer,0.477093,0.015987 +0.000000 i
CVIT,Dietary,2,2,Inner,0.154975,0.001465 +0.000000 i
CVIT,Dietary,2,2,Outer,0.252468,0.005551 +0.000000 i
CVIT,Dietary,3,1,Inner,0.242228,0.005041 +0.000000 i
CVIT,Dietary,3,1,Outer,0.226745,0.004920 +0.000000 i
CVIT,Dietary,3,2,Inner,0.168546,0.004007 +0.000000 i
CVIT,Dietary,3,2,Outer,0.335836,0.005794 +0.000000 i
CVIT,Dietary,4,1,Inner,0.243041,0.007506 +0.000000 i
CVIT,Dietary,4,1,Outer,0.19766,0.007698 +0.000000 i
CVIT,Dietary,4,2,Inner,0.354745,0.008710 +0.000000 i
CVIT,Dietary,4,2,Outer,0.125035,0.005328 +0.000000 i
CVIT,Dietary,5,1,Inner,0.215412,0.009708 +0.000000 i
CVIT,Dietary,5,1,Outer,0.179312,0.005592 +0.000000 i
CVIT,Dietary,5,2,Inner,0.398063,0.010082 +0.000000 i
CVIT,Dietary,5,2,Outer,0.316363,0.009530 +0.000000 i
GSEP,Non-dietary,1,1,Inner,0.15174,0.001607 +0.000000 i
GSEP,Non-dietary,1,1,Outer,0.434829,0.015262 +0.000000 i
GSEP,Non-dietary,1,2,Inner,0.112714,0.003553 +0.000000 i
