Picture ID,Species,DietCategory,Individual,Branch,Widest Pith Width (cm),Widest Branch Width (cm),Widest Relative Pith,Narrowest Pith Width (cm),Narrowest Branch Width (cm),Narrowest Relative Pith,Intermediate Pith Width (cm),Intermediate Branch Width (cm),Intermediate Relative Pith,Scale Measurement (cm),Average Pith Width (cm),Average Relative Pith,Scale,Comments,,,,,,,,,,,,,,,
CVIT,Cochlospermum vitifolium,Dietary,n/a,n/a,0.205,0.856,0.239485981,0.088,0.667,0.131934033,0.15,0.733,0.204638472,10,0.147666667,0.192019495,10 cm ruler,,,,,,,,,,,,,,,,
CVIT1branch1,Cochlospermum vitifolium,Dietary,1,1,0.303,0.689,0.439767779,0.222,0.545,0.40733945,0.283,0.503,0.562624254,10.01,0.269333333,0.469910494,10 cm ruler,,,,,,,,,,,,,,,,
CVIT1branch2,Cochlospermum vitifolium,Dietary,1,2,0.454,0.864,0.525462963,0.169,0.45,0.375555556,0.337,0.6,0.561666667,10,0.32,0.487561728,10 cm ruler,,,,,,,,,,,,,,,,
CVIT2branch1,Cochlospermum vitifolium,Dietary,2,1,0.518,0.771,0.671854734,0.232,0.737,0.314789688,0.405,0.826,0.49031477,10.005,0.385,0.492319731,10 cm ruler,,,,,,,,,,,,,,,,
CVIT2branch2,Cochlospermum vitifolium,Dietary,2,2,0.285,0.818,0.348410758,0.199,0.603,0.330016584,0.25,0.754,0.331564987,9.983,0.244666667,0.336664109,10 cm ruler,,,,,,,,,,,,,,,,
CVIT3branch1,Cochlospermum vitifolium,Dietary,3,1,0.429,0.875,0.490285714,0.295,0.608,0.485197368,0.348,0.848,0.410377358,10.01,0.357333333,0.46195348,10 cm ruler,,,,,,,,,,,,,,,,
CVIT3branch2,Cochlospermum vitifolium,Dietary,3,2,0.362,0.929,0.389666308,0.229,0.854,0.268149883,0.341,0.758,0.449868074,10,0.310666667,0.369228088,10 cm ruler,,,,,,,,,,,,,,,,
CVIT4branch1,Cochlospermum vitifolium,Dietary,4,1,0.283,0.597,0.474036851,0.157,0.519,0.302504817,0.22,0.559,0.393559928,10,0.22,0.390033865,10 cm ruler,,,,,,,,,,,,,,,,
CVIT4branch2,Cochlospermum vitifolium,Dietary,4,2,0.35,0.683,0.512445095,0.184,0.589,0.312393888,0.294,0.66,0.445454545,9.991,0.276,0.423431176,10 cm ruler,,,,,,,,,,,,,,,,
CVIT5branch1,Cochlospermum vitifolium,Dietary,5,1,0.524,0.953,0.549842602,0.252,0.524,0.480916031,0.429,0.795,0.539622642,10.005,0.401666667,0.523460425,10 cm ruler,,,,,,,,,,,,,,,,
